case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
C01,PC in VLAN 10 cannot reach PC in VLAN 20; both are on the same switch.,"Single SW1; Fa0/1 access VLAN 10, Fa0/2 access VLAN 20, no router attached.",show vlan brief: VLAN 10 active Fa0/1 | VLAN 20 active Fa0/2 | show ip interface brief: Vlan10 unassigned YES unset up up,No inter-VLAN routing device; Layer-2 VLANs are isolated by design.,Layer 2,VLAN,High
C02,Trunk between SW1 and SW2 passes only VLAN 1 traffic.,"SW1 Gi0/1 trunk to SW2 Gi0/1; VLANs 10,20,30 defined on both switches.",show interfaces Gi0/1 trunk: allowed VLANs 1 | show run: switchport trunk allowed vlan 1,"Trunk allowed-VLAN list not updated; VLANs 10,20,30 pruned.",Layer 2,Trunking,High
C03,New VLAN 40 ports cannot communicate even within the same switch.,SW1; Fa0/5-Fa0/8 assigned access VLAN 40.,show vlan brief: VLAN 40 not listed | show run: switchport access vlan 40,VLAN 40 not created in VLAN database; ports inactive.,Layer 2,VLAN,Medium
C04,Voice VLAN phones register but data VLAN PCs on same port get no IP.,SW1 Fa0/3 configured as access VLAN 10 voice VLAN 20.,show interfaces Fa0/3 switchport: Voice VLAN 20 active | Access VLAN 10 inactive,Port mode set to access instead of multi-VLAN; data VLAN not active on port.,Layer 2,Voice VLAN,Medium
C05,SW2 does not learn MAC addresses from SW3 after adding a new trunk link.,SW2 Gi0/2 to SW3 Gi0/1; native VLAN mismatch suspected.,show interfaces Gi0/2 trunk: native vlan 1 | SW3 show interfaces Gi0/1 trunk: native vlan 99,Native VLAN mismatch (1 vs 99) causing CDP/STP errors and traffic drop.,Layer 2,Trunking,High
C06,PC in VLAN 10 gets IP but cannot ping PC in VLAN 20 through router-on-a-stick.,R1 Gi0/0.10 and Gi0/0.20 sub-interfaces; SW1 trunk to R1.,show ip interface brief: Gi0/0.10 up/up 192.168.10.1 | Gi0/0.20 up/up 192.168.20.1 | show interfaces trunk: Gi0/0 not in trunk list,SW1 port connected to R1 not configured as trunk; sub-interfaces receive no tagged frames.,Layer 3,Inter-VLAN Routing,High
C07,PC1 (192.168.10.5) cannot reach default gateway 192.168.10.1.,R1 Gi0/0 = 192.168.10.1/24; PC1 gateway set to 192.168.1.1 (typo).,ipconfig: Default Gateway 192.168.1.1 | ping 192.168.10.1: Request timed out,Wrong default gateway configured on PC1; gateway unreachable.,Layer 3,Default Gateway,Medium
C08,All VLANs lose inter-VLAN routing after SVI is added to L3 switch.,SW1 L3; SVI Vlan10 and Vlan20 created; ip routing not enabled.,show ip route: no routes | show run: no ip routing,ip routing command missing on L3 switch; SVIs created but routing disabled.,Layer 3,Inter-VLAN Routing,High
C09,Sub-interface Gi0/0.30 is up but VLAN 30 hosts cannot reach router.,R1 Gi0/0.30; encapsulation dot1Q 30 missing.,show run interface Gi0/0.30: ip address 192.168.30.1 255.255.255.0 | no encapsulation command,Missing encapsulation dot1Q 30 on sub-interface; tagged frames not processed.,Layer 3,Inter-VLAN Routing,High
C10,PC in VLAN 50 can ping its SVI but not hosts in other VLANs.,L3 SW; Vlan50 SVI up; Vlan60 SVI admin-down.,show ip interface brief: Vlan50 up/up | Vlan60 administratively down,Vlan60 SVI is admin-down; no shutdown needed.,Layer 3,Inter-VLAN Routing,Medium
